text,screen_name,created,favoriteCount,retweetCount,lang,location
"Trump wants to bring NYC's old, unconstitutional stop-and-frisk policy<U+0097>aka racial profiling<U+0097>to a city near you. https://t.co/XWHj5xRSiH",HillaryClinton,2016-10-01,4497,2413,en,"New York, NY"
"Trump stood on a debate stage and lied to millions of Americans.Chip in to make sure he never becomes president:<U+0085> https://t.co/UVma8uxsIY",HillaryClinton,2016-10-01,13786,7798,en,"New York, NY"
We're going to make college debt-free for everyone in America. See how much you could save with Hillary's plan at<U+0085> https://t.co/Fhzkubhpj7,HillaryClinton,2016-10-01,6149,2213,en,"New York, NY"
It's 3:20am. As good a time as any to tweet about national service. https://t.co/6hRCC16UiV,HillaryClinton,2016-10-01,30826,10568,en,"New York, NY"
"For those few people knocking public service, hope you'll reconsider answering the call to help others. Because we're stronger together.",HillaryClinton,2016-10-01,7723,2201,en,"New York, NY"
Nobody here was <U+0093>having fun<U+0094> except for Trump. https://t.co/uklRuFJaus,HillaryClinton,2016-10-01,20332,11279,en,"New York, NY"
This Republican dad is struggling with the idea of his daughter growing up in a country led by Donald Trump. https://t.co/Tn3rQqJJKp,HillaryClinton,2016-10-01,5927,2476,en,"New York, NY"
Too many talented young people pass up on programs like @Peacecorps because of student loans. Let's use GOOD JUDGMENT &amp; lighten that burden.,HillaryClinton,2016-10-01,5049,1796,en,"New York, NY"
"Donald Trump said he has ""great respect"" for women. His actions and words say otherwise. https://t.co/DV0KszUZxM",HillaryClinton,2016-10-01,5545,2168,en,"New York, NY"
"There are hundreds of thousands more @AmeriCorps applications than spots. Horrible! Let's expand it from 75,000 annual members to 250,000.",HillaryClinton,2016-10-01,4233,1620,en,"New York, NY"
Great step forward by the Obama administration. It<U+0092>s past time for Congress to guarantee paid sick leave for everyo<U+0085> https://t.co/kYSmvVsfsY,HillaryClinton,2016-10-01,8179,2640,en,"New York, NY"
"Remember, don't believe the haters who describe America as hopeless and broken. We should lift each other up, not tear each other down.",HillaryClinton,2016-10-01,10824,3869,en,"New York, NY"
"I feel like I'm the political equivalent of the Antiques Roadshow. <U+0097>@BillClinton, now playing on With Her at<U+0085> https://t.co/pSz8uuh693",HillaryClinton,2016-10-01,3592,994,en,"New York, NY"
"It was overwhelming, in every sense of that word. <U+0097>Betsy, Hillary's oldest friend, on casting the Illinois delega<U+0085> https://t.co/QA3ZxSpi4n",HillaryClinton,2016-10-01,9115,2730,en,"New York, NY"
Don't boo. Vote! https://t.co/tTgeqy51PU https://t.co/9un3FUVxoG,HillaryClinton,2016-10-01,11320,4637,en,"New York, NY"
Hillary teamed up with @BernieSanders on a plan to make college debt-free for all Americans. https://t.co/sdWVzdxIrG,HillaryClinton,2016-10-01,5854,2273,en,"New York, NY"
"Trump ""apparently got to avoid paying taxes for nearly two decades<U+0097>while tens of millions of working families paid<U+0085> https://t.co/s6KgRcoICM",HillaryClinton,2016-10-02,23469,12776,en,"New York, NY"
"""We truly are stronger together<U+200A><U+0097><U+200A>and together, we<U+0092>re going to make history.""A note from Hillary: https://t.co/fPXxghe5dA",HillaryClinton,2016-10-02,6640,2028,en,"New York, NY"
"<U+0093>She<U+0092>s just out there every day doing God<U+0092>s work in her own way. You know? Making her parents proud.<U+0094> <U+0097>Betsy, Hilla<U+0085> https://t.co/ZB3Vxskqoh",HillaryClinton,2016-10-02,8899,2715,en,"New York, NY"
.@TimKaine's favorite records<U+0097>and 13 other things you should know about America's next vice president: https://t.co/re60pwBfxc,HillaryClinton,2016-10-02,6168,2593,en,"New York, NY"
<U+0093>It would be reckless not to consider the damage Mr. Trump might wreak.<U+0094><U+0097>@WashingtonPost: https://t.co/drPNG1ucBX,HillaryClinton,2016-10-02,6033,2882,en,"New York, NY"
Real change happens when Americans come together to work toward a common goal<U+0097>we'll make it easier to do that. https://t.co/PIbFMWHFSS,HillaryClinton,2016-10-02,4011,1334,en,"New York, NY"
They're voting. Are you? Make sure you're registered: https://t.co/tTgeqxNqYm https://t.co/76koKQOTno,HillaryClinton,2016-10-02,5840,1751,en,"New York, NY"
Donald Trump built numerous squandered businesses on the backs of taxpayers<U+0097>and he hasn't even paid his fair share. https://t.co/z0VopqoiCy,HillaryClinton,2016-10-02,5479,2502,en,"New York, NY"
"Reminder: While Trump probably pays no federal taxes, he wants a $4 billion tax break for his own family.<U+0085> https://t.co/Ps2JFgKk0k",HillaryClinton,2016-10-02,8539,5482,en,"New York, NY"
