text,favoriteCount,created,statusSource,screenName,retweetCount,location
"""I'm so sick and tired of people like Trump...saying we get 'paid too much.'"" —@JoeBiden in Ohio: https://t.co/zMPLqxzsTY",2891,1/9/16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1240,"New York, NY"
It took Donald Trump exactly one foreign policy trip to get rebuked by a leader of an ally nation. https://t.co/yGWzjldtZY,13597,1/9/16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,6929,"New York, NY"
Donald Trump could actually be our next president. Chip in before midnight to make sure that never happens: https://t.co/whE5Bls0pq,4726,1/9/16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1902,"New York, NY"
"If Trump needs help with diplomacy, he could learn a lot from our last secretary of state. https://t.co/wrAPHGr7oq",3768,1/9/16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1445,"New York, NY"
"""He’s causing nations to wonder if we’ll actually keep our word.” —@JoeBiden on Donald Trump: https://t.co/Xf3OPFMOo9",2072,1/9/16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,985,"New York, NY"
This choice couldn't be starker. https://t.co/9msdztcXbE,5526,1/9/16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2674,"New York, NY"
"Trump's extreme immigration speech got rave reviews—from white supremacists, the alt-right, and Ann Coulter. https://t.co/TeYcDQeYCg",6081,1/9/16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,3546,"New York, NY"
"We are not going to criminalize, profile, round up, and deport 16 million people. https://t.co/oCAAusi5dx",7693,1/9/16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,4099,"New York, NY"
"""There will be no softening whatsoever."" —the @WashingtonPost on Trump's most alarming immigration speech yet https://t.co/RxuZC8hWzy",2468,1/9/16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1144,"New York, NY"
There is no other Donald Trump. This is it. https://t.co/oQJdlUJv0u,5846,1/9/16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,3152,"New York, NY"
