text,screen_name,created,favoriteCount,retweetCount,lang,location
Great piece defending the rights of parents in determining the best learning environment for their child. https://t.co/gw7TWKGCDs,JebBush,2017-03-22,139,23,en,"Miami, FL"
Great to have so many MVP students from the @DCISchool here at #EIE16 @ExcelinEd https://t.co/CjmmLu7cO9,JebBush,2016-12-01,142,26,en,"Miami, FL"
A huge congratulations to Kevin O'Sullivan and the @NCAACWS champion @GatorsBB! https://t.co/sNjOkltz2M,JebBush,2017-06-28,101,13,en,"Miami, FL"
"Wish the Dolphins had pulled a win out, but had a great weekend cheering on the Texans with my Dad! https://t.co/0B5et2mryx",JebBush,2017-01-09,1072,124,en,"Miami, FL"
"God bless this great American hero. Godspeed, John Glenn. https://t.co/u4sfG6w1qU",JebBush,2016-12-08,507,126,en,"Miami, FL"
"In Striking Syria, Trump Made All the Right Calls https://t.co/5znIAuE8ET",JebBush,2017-04-08,813,220,en,"Miami, FL"
Thank you @The74 for <U+0093>The Alumni.<U+0094> Great stories about charter schools helping all students succeed. https://t.co/HXccio1iGK #edreform,JebBush,2017-07-28,79,17,en,"Miami, FL"
"Self-Driving People, Enabled by Airbnb, via @nytimes https://t.co/J8mq4v44an",JebBush,2017-07-26,74,20,en,"Miami, FL"
Such an unnecessary distraction given all the challenges and opportunities we face. Focus on the important stuff. https://t.co/pVDJBjahQM,JebBush,2017-03-17,4063,1215,en,"Miami, FL"
Best of luck to my friend @jimmykimmel tonight. Let's see if he can top his ride to the last awards ceremony. https://t.co/q5PIuLbyOf,JebBush,2017-02-27,446,72,en,"Miami, FL"
Scott Pruitt is ready to turn around the EPA. https://t.co/rWLS42uLbs #confirmpruitt,JebBush,2017-01-18,163,52,en,"Miami, FL"
The CBO has a history of overestimating benefits of progressive policy and underestimating market approaches. https://t.co/3mgv1ubvQF,JebBush,2017-03-17,244,101,en,"Miami, FL"
The Liberal Crackup A good weekend read. https://t.co/bKVhTHC8iY,JebBush,2017-08-12,245,57,en,"Miami, FL"
My kind of fan. #MarlinsMan https://t.co/87KOVVlkMO,JebBush,2017-07-14,1106,202,en,"Miami, FL"
Congratulations to Scott Pruitt on his confirmation. He will be an exceptional leader of the EPA. https://t.co/J4fXwPYtsb,JebBush,2017-02-18,502,92,en,"Miami, FL"
Notable &amp; Quotable: Elizabeth Warren on School Vouchers https://t.co/GCmxHHt5Qd,JebBush,2017-02-09,277,118,en,"Miami, FL"
"By reversing Obama admin<U+0092>s disastrous Cuba policy, Pres Trump has put US on a needed course correction and back on<U+0085> https://t.co/S0l8GJt9wy",JebBush,2017-06-17,2124,626,en,"Miami, FL"
The Mob at Middlebury. Alumni should rise up against this.  https://t.co/AbMp0rYkPQ,JebBush,2017-03-04,446,195,en,"Miami, FL"
Congratulations to Justice Gorsuch! He is a fair and impartial jurist who is committed to our Constitution and will serve our nation well.,JebBush,2017-04-07,1108,171,en,"Miami, FL"
.@GovernorVA's decision to block educational choices is more evidence he puts union special interests ahead of Virg<U+0085> https://t.co/qfQTrQ8RDl,JebBush,2017-03-24,207,95,en,"Miami, FL"
Congratulations to @dougducey and the Arizona Legislature for scoring a big win for Arizona students and parents! https://t.co/TVj3XE8vHn,JebBush,2017-04-07,91,28,en,"Miami, FL"
"The Company Founder<U+0092>s Special Sauce...an owners mindset, sense of urgency and front line obsession. https://t.co/mmjdz58AU8",JebBush,2016-12-20,132,38,en,"Miami, FL"
"I urge @POTUS to unite the country, not parse the assignment of blame for the events in Charlottesville. 2/3",JebBush,2017-08-16,7216,1561,en,"Miami, FL"
"America has incredible teachers. Unfortunately, these are their union reps. What a disservice. https://t.co/4LhMuIOZhI",JebBush,2017-01-09,251,124,en,"Miami, FL"
The massive tragedy in Aleppo only escalates as America continues our withdrawal. Just devastating. https://t.co/eLVp8TWyCq,JebBush,2016-12-15,267,152,en,"Miami, FL"
Learn Free or Die: New Hampshire can put its famous state motto to work on education. https://t.co/i6B4tN3h11 #edreform #schoolchoice,JebBush,2017-04-27,83,43,en,"Miami, FL"
Ruling marks a monumental moment in lives of 90k students who receive a quality education through Florida<U+0092>s Tax-Cre<U+0085> https://t.co/fTrzUfNipN,JebBush,2017-01-18,121,37,en,"Miami, FL"
"Congratulations to my friend @GovernorPerry! Through his leadership and experience, he will make an excellent Secretary of Energy.",JebBush,2016-12-14,711,138,en,"Miami, FL"
What a great day for FL students and #edreform! Thanks to @RichardCorcoran @FLGovScott &amp; @joenegronfl for putting FL families 1st!  #HB7069,JebBush,2017-06-16,143,47,en,"Miami, FL"
Congratulations @GovMattBevin and @BamCarney for passing HB 520 #CharterSchools empowering #Kentucky<U+0092>s students and families! #edreform,JebBush,2017-03-16,275,70,en,"Miami, FL"
Thanks so much to @Sen_JoeManchin for skyping into our class on gubernatorial leadership at the @BushSchool. It was<U+0085> https://t.co/ngMa28O7gy,JebBush,2017-01-11,237,32,en,"Miami, FL"
"For the sake of our country, he must leave no room for doubt that racism and hatred will not be tolerated or ignored by his White House 3/3",JebBush,2017-08-16,5448,1453,en,"Miami, FL"
"A Trump Statistical Trade Trick Keep focus on regulatory and tax reform, not gimmicks. https://t.co/cXgXGIE14W",JebBush,2017-02-21,110,70,en,"Miami, FL"
"As @BetsyDeVos' confirmation hearing begins, my thoughts on her capacity to transform education in America #edreform https://t.co/jSaSToKThp",JebBush,2017-01-17,212,57,en,"Miami, FL"
The war on @BetsyDeVos is all about the teachers unions https://t.co/5Un70f3fuy,JebBush,2017-02-06,972,474,en,"Miami, FL"
What Truman Can Teach Trump https://t.co/O9ReXNiDz0,JebBush,2017-07-22,411,138,en,"Miami, FL"
A well deserved honor for an incredible player and great guy. https://t.co/KsvjMJ8oeL,JebBush,2017-05-14,490,106,en,"Miami, FL"
"Huge support for #edreform: #SchoolChoice Week 2017 has more 21,000 events planned w/ 6+ million attendees in all 5<U+0085> https://t.co/Z2Da9KaS4T",JebBush,2017-01-25,195,57,en,"Miami, FL"
Meghan O'Sullivan delivers a substantive and accurate case against the travel ban. The Admin should take steps to r<U+0085> https://t.co/UxZI6BJOJs,JebBush,2017-02-02,2897,1405,en,"Miami, FL"
Times($): LeMieux: Crumbling Venezuela needs help : https://t.co/craga3hHKK,JebBush,2017-04-28,105,59,en,"Miami, FL"
Tonight I'll join the @Bush41Library to discuss gubernatorial leadership. Watch @ 6:00 pm CT: https://t.co/mn4WxmBdco,JebBush,2017-01-10,106,25,en,"Miami, FL"
Six of the top 10 high schools in America are charter schools. Every parent deserves the right to choose a great sc<U+0085> https://t.co/4a8SbEHjsb,JebBush,2017-07-26,456,106,en,"Miami, FL"
Give Medicaid Dollars Directly to Patients Empower states to reform  https://t.co/d9Dq0ZO597,JebBush,2017-04-13,103,37,en,"Miami, FL"
"Great piece by @rpondiscio: A reflection on race, social justice, and education reform https://t.co/CMr4xCzheR",JebBush,2017-02-02,123,46,en,"Miami, FL"
My prayers are with Zach and everyone hurt in this morning's shooting. Hats off to the U.S. Capitol Police for thei<U+0085> https://t.co/JvFlWX0Jpt,JebBush,2017-06-14,1049,209,en,"Miami, FL"
Very sad to hear about Mark Silva's passing. He was a good man and a fair and principled reporter. I was lucky to know him. @NewsmanSilva,JebBush,2017-08-01,492,106,en,"Miami, FL"
Learn more about our course on gubernatorial leadership at @TAMU's @BushSchool https://t.co/zDuByHDE4s,JebBush,2017-01-11,92,22,en,"Miami, FL"
