text,screen_name,created,favoriteCount,retweetCount,lang,hashtags,location
I believe in #AmericaFirst and that means FAMILY FIRST! My childcare plan reflects the needs of modern working-clas https://t.co/RCnZZtTk4c,realDonaldTrump,2016-01-10,39708,17105,en,AmericaFirst,Michigan
"Crooked H is nasty to Sanders supporters behind closed doors. Owned by Wall St and Politicians, HRC is not with you. https://t.co/WN1lyCDXla",realDonaldTrump,2016-01-10,30289,16083,en,NA,NA
"I won the debate if you decide without watching the totally one-sided ""spin"" that followed. This despite the really bad microphone.",realDonaldTrump,2016-01-10,35901,10527,en,NA,NA
The so-called Commission on Presidential Debates admitted to us that the DJT audio &amp; sound level was very bad. So why didn't they fix it?,realDonaldTrump,2016-01-10,28247,10358,en,NA,New Jersey
"Wow, just saw the really bad @CNN ratings. People don't want to watch bad product that only builds up Crooked Hillary.",realDonaldTrump,2016-01-10,30987,10791,en,NA,NA
Heading to Pennsylvania for a big rally tonight. We will MAKE AMERICA GREAT AGAIN!,realDonaldTrump,2016-01-10,30134,8844,en,NA,NA
I know our complex tax laws better than anyone who has ever run for president and am the only one who can fix them. #failing@nytimes,realDonaldTrump,2016-02-10,40793,15254,en,failing,NA
I have created tens of thousands of jobs and will bring back great American prosperity. Hillary has only created jobs at the FBI and DOJ!,realDonaldTrump,2016-02-10,50368,18951,en,NA,NA
"""@trumplican2016: .@realDonaldTrump  There will be MASSIVE turnout for you,  Mr. Trump - These polls don't register the pulse of the PEOPLE!",realDonaldTrump,2016-02-10,27577,10199,en,NA,NA
Bernie should pull his endorsement of Crooked Hillary after she decieved him and then attacked him and his supporters.,realDonaldTrump,2016-02-10,43537,16260,en,NA,NA
"Melania and I extend our warmest greetings to those observing Rosh Hashanah here in the United States, in Israel, and around the world.",realDonaldTrump,2016-02-10,37930,11972,en,NA,NA
Just announced that Iraq (U.S.) is preparing for battle to reclaim Mosul. Why do they have to announce this? Makes mission much harder!,realDonaldTrump,2016-02-10,37431,13701,en,NA,NA
