state_name,county_name,total_2012,dem_2012,pct_dem_2012,gop_2012,pct_gop_2012,oth_2012,pct_oth_2012,total_2016,dem_2016,pct_dem_2016,gop_2016,pct_gop_2016,oth_2016,pct_oth_2016,trump_county
utah,Utah County,161278,15791,9.79,142337,88.26,3150,1.95,164777,22934,13.92,84863,51.50,56980,34.58,Trump Won
utah,Cache County,37099,5434,14.65,30818,83.07,847,2.28,26492,5435,20.52,12385,46.75,8672,32.73,Trump Won
idaho,Madison County,14412,832,5.77,13445,93.29,135,0.94,15687,1201,7.66,8941,57.00,5545,35.35,Trump Won
utah,Davis County,112568,20417,18.14,90030,79.98,2121,1.88,91822,20206,22.01,41250,44.92,30366,33.07,Trump Won
utah,Morgan County,4370,386,8.83,3910,89.47,74,1.69,5136,572,11.14,3156,61.45,1408,27.41,Trump Won
utah,Box Elder County,18092,1830,10.11,15969,88.27,293,1.62,16548,1814,10.96,10324,62.39,4410,26.65,Trump Won
utah,Salt Lake County,341664,132686,38.84,198739,58.17,10239,3.00,282435,126702,44.86,91375,32.35,64358,22.79,Clinton Won
utah,Wasatch County,9109,2097,23.02,6852,75.22,160,1.76,11149,2800,25.11,5627,50.47,2722,24.41,Trump Won
utah,Weber County,68143,17569,25.78,48938,71.82,1636,2.40,81451,22187,27.24,38447,47.20,20817,25.56,Trump Won
utah,Tooele County,16422,3794,23.10,12240,74.53,388,2.36,18905,4015,21.24,9693,51.27,5197,27.49,Trump Won
utah,Sanpete County,8804,889,10.10,7767,88.22,148,1.68,9778,1026,10.49,6436,65.82,2316,23.69,Trump Won
idaho,Franklin County,5600,325,5.80,5195,92.77,80,1.43,5499,385,7.00,3901,70.94,1213,22.06,Trump Won
utah,Juab County,3907,436,11.16,3400,87.02,71,1.82,4076,436,10.70,2759,67.69,881,21.61,Trump Won
utah,Rich County,999,83,8.31,907,90.79,9,0.90,1096,104,9.49,786,71.72,206,18.80,Trump Won
utah,Iron County,13168,1720,13.06,11172,84.84,276,2.10,6197,977,15.77,4090,66.00,1130,18.23,Trump Won
utah,Millard County,4958,424,8.55,4421,89.17,113,2.28,5211,429,8.23,3845,73.79,937,17.98,Trump Won
utah,Summit County,16616,7656,46.08,8464,50.94,496,2.99,20133,10251,50.92,7160,35.56,2722,13.52,Clinton Won
utah,Garfield County,2157,306,14.19,1811,83.96,40,1.85,2294,352,15.34,1577,68.74,365,15.91,Trump Won
idaho,Bonneville County,43302,9929,22.93,32336,74.68,1037,2.39,44212,8930,20.20,26699,60.39,8583,19.41,Trump Won
utah,Wayne County,1323,213,16.10,1087,82.16,23,1.74,1410,271,19.22,959,68.01,180,12.77,Trump Won
utah,Washington County,49733,7762,15.61,41104,82.65,867,1.74,48818,8369,17.14,33472,68.56,6977,14.29,Trump Won
idaho,Oneida County,2089,217,10.39,1838,87.98,34,1.63,2068,184,8.90,1531,74.03,353,17.07,Trump Won
idaho,Jefferson County,11381,1303,11.45,9895,86.94,183,1.61,11471,976,8.51,8436,73.54,2059,17.95,Trump Won
utah,Uintah County,11116,962,8.65,10001,89.97,153,1.38,12714,988,7.77,9745,76.65,1981,15.58,Trump Won
new mexico,Los Alamos County,10654,5191,48.72,4796,45.02,667,6.26,10430,5443,52.19,3329,31.92,1658,15.90,Clinton Won
idaho,Fremont County,5802,810,13.96,4907,84.57,85,1.47,5714,651,11.39,4091,71.60,972,17.01,Trump Won
idaho,Bear Lake County,2822,302,10.70,2489,88.20,31,1.10,2928,255,8.71,2203,75.24,470,16.05,Trump Won
idaho,Cassia County,8387,1093,13.03,7150,85.25,144,1.72,8178,1036,12.67,5949,72.74,1193,14.59,Trump Won
virginia,Arlington County,117279,81178,69.22,34433,29.36,1668,1.42,119344,91879,76.99,20155,16.89,7310,6.13,Clinton Won
NA,Falls Church City,7244,5006,69.11,2141,29.56,97,1.34,7667,5810,75.78,1323,17.26,534,6.96,Clinton Won
utah,Sevier County,7781,701,9.01,6961,89.46,119,1.53,7925,648,8.18,6146,77.55,1131,14.27,Trump Won
NA,Lexington City,2677,1484,55.44,1146,42.81,47,1.76,2448,1514,61.85,766,31.29,168,6.86,Clinton Won
utah,Beaver County,2534,341,13.46,2153,84.96,40,1.58,2484,264,10.63,1838,73.99,382,15.38,Trump Won
texas,Parmer County,2545,528,20.75,2005,78.78,12,0.47,2818,848,30.09,1911,67.81,59,2.09,Trump Won
idaho,Teton County,4523,1926,42.58,2458,54.34,139,3.07,4966,2157,43.44,2161,43.52,648,13.05,Trump Won
idaho,Bingham County,17603,3822,21.71,13440,76.35,341,1.94,16625,2924,17.59,10907,65.61,2794,16.81,Trump Won
wyoming,Teton County,11356,6211,54.69,4858,42.78,287,2.53,12176,7313,60.06,3920,32.19,943,7.74,Clinton Won
idaho,Caribou County,3050,385,12.62,2608,85.51,57,1.87,3035,271,8.93,2275,74.96,489,16.11,Trump Won
utah,Kane County,3281,718,21.88,2463,75.07,100,3.05,3482,739,21.22,2248,64.56,495,14.22,Trump Won
virginia,Fairfax County,440174,260835,59.26,173786,39.48,5553,1.26,542858,354485,65.30,157837,29.08,30536,5.63,Clinton Won
kansas,Johnson County,268145,107651,40.15,155442,57.97,5052,1.88,279753,126324,45.16,133907,47.87,19522,6.98,Trump Won
utah,Duchesne County,6273,570,9.09,5608,89.40,95,1.51,6932,500,7.21,5505,79.41,927,13.37,Trump Won
NA,Fairfax City,11577,6636,57.32,4762,41.13,179,1.55,11854,7363,62.11,3695,31.17,796,6.72,Clinton Won
NA,Alexandria City,73470,52434,71.37,20205,27.50,831,1.13,74384,57147,76.83,13241,17.80,3996,5.37,Clinton Won
indiana,Hamilton County,136803,43794,32.01,90740,66.33,2269,1.66,153630,57214,37.24,87299,56.82,9117,5.93,Trump Won
NA,Williamsburg City,7722,4901,63.47,2678,34.68,143,1.85,7534,5199,69.01,1921,25.50,414,5.50,Clinton Won
NA,Charlottesville City,21455,16267,75.82,4801,22.38,387,1.80,22211,17865,80.43,2951,13.29,1395,6.28,Clinton Won
virginia,Albemarle County,53732,29712,55.30,23263,43.29,757,1.41,56134,33297,59.32,19232,34.26,3605,6.42,Clinton Won
georgia,Forsyth County,81598,14544,17.82,65853,80.70,1201,1.47,97314,23427,24.07,69801,71.73,4086,4.20,Trump Won
illinois,DuPage County,397173,197411,49.70,193333,48.68,6429,1.62,412929,222499,53.88,164355,39.80,26075,6.31,Clinton Won
