county,total_eligible,total_registered,total_voted,prop_democrat,prop_republican,prop_no_party_preference,votesneeded
Alameda,1069959,888664,670245,0.761555849,0.160362256,0.347499795,335123.5
Alpine,951,722,621,0.444444444,0.359098229,0.289855072,311.5
Amador,27553,22417,18289,0.36852753,0.560336814,0.219148122,9145.5
Butte,169048,129275,98879,0.457265951,0.464294744,0.294703628,49440.5
Calaveras,36098,29555,23975,0.362127216,0.529176225,0.246631908,11988.5
Colusa,12496,8638,6814,0.420751394,0.523334312,0.272820663,3408
Contra Costa,743816,607515,481355,0.635765703,0.275067258,0.298897903,240678.5
Del Norte,17996,14318,9790,0.467517875,0.529928498,0.346680286,4896
El Dorado,137103,116459,97024,0.353417711,0.50951311,0.254359746,48513
Fresno,583238,437423,291890,0.592020967,0.536229401,0.295135154,145946
