county,total_voters,pct_nonwhite,median_income,pct_never_married
Imperial,48895,0.8650662716182396,56603,0.366
Los Angeles,3544115,0.7061621846057355,82941,0.41600000000000004
Merced,72631,0.6789662163442409,58398,0.376
Tulare,116106,0.6777392832679563,58678,0.36
San Bernardino,672871,0.6639710631577992,69064,0.37
Marin,143041,0.24180856128725098,146444,0.281
San Mateo,323303,0.5542123940373779,135131,0.32
Santa Clara,724596,0.6304759416941583,128243,0.32799999999999996
San Francisco,414528,0.5474598668114559,119406,0.465
Contra Costa,481355,0.49358525200991177,109573,0.312
