County,TOTAL_VOTES,CLINTON_FINAL,TRUMP_FINAL,total_eligible,prop_democrat,prop_republican,prop_no_party_preference,prop_nonwhite,median_income,prop_never_married,votesneeded
Alameda,670245,514842,95922,1069959,0.76,0.16,0.35,0.24,146444,0.28,335123.5
Alpine,621,334,217,951,0.44,0.36,0.29,0.55,135131,0.32,311.5
Amador,18289,6004,10485,27553,0.37,0.56,0.22,0.63,128243,0.33,9145.5
Butte,98879,41567,45144,169048,0.46,0.46,0.29,0.54,119406,0.47,49440.5
Calaveras,23975,7944,13511,36098,0.36,0.53,0.25,0.5,109573,0.31,11988.5
Colusa,6814,2661,3551,12496,0.42,0.52,0.27,0.55,103752,0.34,3408
Contra Costa,481355,319287,115956,743816,0.64,0.28,0.3,0.62,101953,0.37,240678.5
Del Norte,9790,3485,5134,17996,0.47,0.53,0.35,0.51,100843,0.32,4896
El Dorado,97024,36404,49247,137103,0.35,0.51,0.25,0.43,99859,0.3,48513
Fresno,291890,141341,124049,583238,0.59,0.54,0.3,0.21,94595,0.26,145946
Glenn,9736,3065,5788,18459,0.38,0.57,0.29,0.18,93356,0.25,4869
Humboldt,60983,33200,18373,105164,0.62,0.32,0.32,0.38,91983,0.39,30492.5
Imperial,48895,32667,12704,97282,0.72,0.28,0.38,0.51,89903,0.39,24448.5
Inyo,8342,3155,4248,13771,0.38,0.51,0.25,0.32,87597,0.32,4172
Kern,251056,98689,129584,505303,0.53,0.55,0.33,0.62,87412,0.32,125529
Kings,35019,13617,18093,80492,0.51,0.66,0.27,0.5,87081,0.36,17510.5
Lake,25085,11496,10599,48487,0.54,0.38,0.37,0.54,83446,0.34,12543.5
Lassen,10807,2224,7574,16295,0.29,0.66,0.28,0.7,82941,0.42,5404.5
Los Angeles,3544115,2464364,769743,6222266,0.77,0.28,0.37,0.66,81128,0.39,1772058.5
Madera,44186,17029,23357,87254,0.43,0.54,0.28,0.28,80404,0.34,22094
Marin,143041,108707,21771,181279,0.63,0.19,0.26,0.47,78450,0.42,71521.5
Mariposa,9243,3122,5185,14954,0.34,0.53,0.22,0.12,76041,0.25,4622.5
Mendocino,38730,22079,10888,63741,0.63,0.27,0.31,0.59,74222,0.34,19366
Merced,72631,37317,28725,154971,0.61,0.4,0.29,0.48,74159,0.35,36316.5
Modoc,3886,877,2696,7385,0.31,0.68,0.26,0.14,72202,0.23,1944
Mono,5485,2773,2111,9414,0.42,0.38,0.31,0.18,70997,0.24,2743.5
Monterey,137102,89088,34895,242584,0.68,0.31,0.31,0.3,70947,0.39,68552
Napa,63255,39199,17411,93686,0.57,0.3,0.28,0.62,70520,0.34,31628.5
Nevada,56800,26053,23365,77443,0.44,0.42,0.04,0.48,69238,0.28,28401
Orange,1239405,609961,507148,2009188,0.42,0.47,0.3,0.66,69064,0.37,619703.5
Placer,190550,73509,95138,264101,0.34,0.53,0.26,0.13,66613,0.22,95276
Plumas,10044,3459,5420,16052,0.36,0.52,0.23,0.52,65947,0.34,5023
Riverside,769193,373695,333243,1438117,0.5,0.48,0.28,0.1,65938,0.24,384597.5
Sacramento,575711,326023,189789,989090,0.59,0.37,0.31,0.62,65917,0.36,287856.5
San Benito,22544,12521,7841,33990,0.59,0.36,0.25,0.14,65619,0.22,11273
San Bernardino,672871,340833,271240,1308522,0.53,0.42,0.3,0.61,65310,0.3,336436.5
San Diego,1346513,735476,477766,2191191,0.45,0.37,0.34,0.16,64828,0.25,673257.5
San Francisco,414528,345084,37688,646945,0.72,0.09,0.38,0.31,63361,0.36,207265
San Joaquin,230468,121124,88936,442435,0.64,0.46,0.3,0.67,63314,0.38,115235
San Luis Obispo,139685,67107,56164,207947,0.42,0.45,0.26,0.64,63232,0.37,69843.5
San Mateo,323303,237882,57929,503843,0.63,0.21,0.34,0.33,62959,0.43,161652.5
Santa Barbara,182264,107142,56365,290071,0.53,0.34,0.3,0.34,61925,0.3,91133
Santa Clara,724596,511684,144826,1193225,0.57,0.24,0.36,0.21,60800,0.36,362299
Santa Cruz,132165,95249,22438,190283,0.68,0.18,0.27,0.46,59845,0.29,66083.5
Shasta,82426,22301,51778,134078,0.31,0.59,0.27,0.15,59740,0.27,41214
Sierra,1902,601,1048,2614,0.34,0.5,0.23,0.62,59598,0.36,952
Siskiyou,21162,7234,11341,34631,0.41,0.51,0.3,0.3,59563,0.3,10582
Solano,170628,102360,51920,289271,0.63,0.31,0.31,0.67,58678,0.36,85315
Sonoma,237358,160435,51408,350393,0.61,0.23,0.25,0.38,58447,0.3,118680
Stanislaus,176992,81647,78494,336794,0.54,0.51,0.25,0.68,58398,0.38,88497
Sutter,34422,13076,18176,60761,0.42,0.55,0.27,0.87,56603,0.37,17212
Tehama,24541,6809,15494,43753,0.36,0.59,0.28,0.2,56440,0.38,12271.5
Trinity,5921,2214,2812,11312,0.46,0.45,0.16,0.26,55221,0.26,2961.5
Tulare,116106,47585,58299,260926,0.44,0.56,0.27,0.29,54641,0.35,58054
Tuolumne,26404,9123,14551,41222,0.37,0.51,0.23,0.13,52129,0.22,13203
Ventura,363285,194402,132323,550625,0.5,0.39,0.26,0.17,50890,0.25,181643.5
Yolo,84685,54752,20739,147156,0.64,0.28,0.32,0.26,50453,0.29,42343.5
Yuba,23558,7910,13170,48269,0.41,0.53,0.39,0.2,48845,0.26,11780
